feature,importance,abs_importance
cat__id_traffic_source_Alderaan,-0.48437488959172625,0.48437488959172625
cat__id_traffic_source_Coruscant,0.47855917565575135,0.47855917565575135
cat__age_group_4,0.3959379180409945,0.3959379180409945
cat__age_group_5,0.24141958277266987,0.24141958277266987
cat__age_group_3,0.2246768752377837,0.2246768752377837
cat__system_iOS,0.19420889886381407,0.19420889886381407
cat__age_group_2,0.17193134091068532,0.17193134091068532
cat__id_traffic_source_Corellia,0.09321692049357164,0.09321692049357164
cat__country_group_4,-0.0925346615058374,0.0925346615058374
cat__system_Other,0.07185246373558424,0.07185246373558424
cat__gender_male,-0.0679140472383377,0.0679140472383377
cat__id_traffic_source_Mandalore,0.05808483593106004,0.05808483593106004
cat__id_traffic_source_Jakku,-0.027554965465074903,0.027554965465074903
cat__country_group_3,0.02105599141456946,0.02105599141456946
cat__country_group_2,0.008963751237619303,0.008963751237619303
