dimension,level,control_attempts,control_successes,control_success_rate,test_attempts,test_successes,test_success_rate,diff_pp,ci_lo,ci_hi,chi2_p
Country group,1,855,518,0.6058479532163743,755,551,0.7298013245033113,0.12395337128693695,0.07838708441619263,0.16951965815768127,1.9742758524397505e-07
Country group,2,211,140,0.6635071090047393,135,103,0.762962962962963,0.09945585395822365,0.0034806125162328144,0.19543109540021447,0.06387354921877823
Country group,3,25,10,0.4,20,9,0.45,0.04999999999999999,-0.24054975477532242,0.3405497547753224,0.973081216013735
Country group,4,46,31,0.6739130434782609,40,6,0.15,-0.5239130434782608,-0.6988343015089944,-0.34899178544752724,2.9211747685955608e-06
Payment method,Unknown,0,0,,6,0,0.0,,,,
Payment method,apple-pay,123,86,0.6991869918699187,98,78,0.7959183673469388,0.09673137547702004,-0.017006535881095353,0.21046928683513544,0.13935768649875388
Payment method,card,1014,613,0.6045364891518737,846,591,0.6985815602836879,0.09404507113181415,0.05089538943601906,0.13719475282760923,2.9374032731847733e-05
OS / system,Android,523,349,0.6673040152963671,429,263,0.6130536130536131,-0.054250402242754014,-0.11552822353604789,0.007027419050539857,0.09488535706334494
OS / system,Other,1,0,0.0,0,0,,,,,
OS / system,iOS,613,350,0.5709624796084829,521,406,0.7792706333973128,0.20830815378882994,0.1553603912653148,0.26125591631234507,1.9446382734830237e-13
