rank,id_user,split_group,revenue,system,id_traffic_source,cum_rev_pct
1,25ef928b49cb3838a5151cb045339db0be027143059940ca36532ea77a2c6e86,1,11249.06,Android,Coruscant,3.87
2,10b5bb35e0ab6af8ce286a85a4d9e56f3eea507af9a008531e37cba94659355b,1,11078.90,Windows,Coruscant,7.68
3,b3506e03e87714e04a5460df096422faa165b309336dc6739ab8ad713fe19262,1,10229.86,Android,Mandalore,11.20
4,d5093bd6826f7463c7f645bfed1f59e2698dc893d8120f8dc57d4e2236a2ded9,1,10176.65,iOS,Coruscant,14.69
5,c51fcb8ea5ceb5ade9cf508efb44d188e9ad95f63c7766514fa9938554943457,1,9729.60,iOS,Coruscant,18.04
6,899ca4aefedc6b99b939c8d19ec5af3b9b6d61f618f43a20933bb42cef18a33e,0,8628.67,Android,Coruscant,21.01
7,c62c7798fcc28fd24a11c4facd9a31062927e40257213a19436e7c9ba488cc3d,0,7021.24,iOS,Coruscant,23.42
8,e07ad09eda0152e041795502523782f28a86919ed8f18d97551e8459f4ebda31,1,6541.28,Windows,Coruscant,25.67
9,504291ef75491542e8ce88ef1cff6f2e8b2a6399778c24607f0bec8fd648940c,1,6318.21,Windows,Coruscant,27.84
10,03d38d8e6e0e538d7424af2b3ca6229ea6ef7a85cdd40883699a51d89ba89a6c,1,5664.79,iOS,Alderaan,29.79
11,6bd74a0b56038f56cac7fc59b144a8f9152a1e3ebfc864aa08f7c8d3a9fbfb9d,0,5587.53,Android,Mandalore,31.71
12,b597dd73130cb1d8e02075b4e1c1db2bc18a57809b48f60f96f881556e0506c9,0,4463.37,Android,Mandalore,33.25
13,eb603a199ccf1c112a2cc022e5bc1ed3562f011d871c31df460faf9a28dac033,0,4402.32,Android,Coruscant,34.76
14,65c0e028ca873844fe8e617ac1dbab2dc961866e6104706ba8e917b75ffa5ecd,1,4224.95,iOS,Alderaan,36.21
15,727ff6bf4dc367a164f606f76a7e059ab175e02b285b80c46a602214076f090d,1,4153.90,iOS,Coruscant,37.64
16,1492afd74163e4e4b9f24f60b70b8ad5e2fd0812c66d000cbdc1a9f817caf4be,1,4095.17,Android,Coruscant,39.05
17,88dd406fada2cdaa64f8cd81b3ef113c2cde91eb49bc40afa22b179e99d6e0b2,0,3447.84,iOS,Coruscant,40.24
18,97f16a12d92fe1c62189bc8de3b462e23ccd18e2c51dc1636cd6cdb3185bb7f5,1,3424.32,Windows,Coruscant,41.41
19,4282b614ea4d3db52a69719e84478fa840fe2f44ac3d61f6d96cf08e84647ac4,0,3402.32,iOS,Coruscant,42.58
20,6280153461effb750455dd4ec641764beccbbc2d409179bea2447436ad212fd7,0,3110.42,iOS,Coruscant,43.65
